Event_Date,Year_Bin,Topic,Title,Snippet,Source,Link,Date_Is_Imputed,Vector_Tag
2015-01-02,2015,DOJ crime victim fund balance freeze,Work of the Advisory Council on Elder Justice in the Courts,The Crime Victims Fund comes from the collection of federal criminal fines and helps an average of. 3.7 million victims of all types of crime every year.,pacourts.us,https://www.pacourts.us/Storage/media/pdfs/20210516/222513-file-7546.pdf,False,VOCA/Funding
2015-01-21,2015,DOJ crime victim fund balance freeze,Two Woodland Hills Men Who Operated $100+ Million ...,"Joel Barry Gillis, 74, of Woodland Hills, pleaded guilty in relation to a 13-year-long scheme that collected hundreds of millions from investors.",justice.gov,https://www.justice.gov/usao-cdca/pr/two-woodland-hills-men-who-operated-100-million-ponzi-scheme-involving-atms-plead,False,VOCA/Funding
2015-01-22,2015,DOJ crime victim fund balance freeze,Crime and Forfeiture,The Justice Department's Office for Victims of Crime in the Office of Justice Programs administers the Crime Victims Fund created by the Crime Control Act.,congress.gov,https://www.congress.gov/crs_external_products/RL/PDF/97-139/97-139.13.pdf,False,VOCA/Funding
2015-01-23,2015,VOCA funding release 2025,Fenway Health's Violence Recovery Program,"Fenway Health's Violence Recovery Program provides counseling, support groups, advocacy, and referral services to (LGBT) victims.",fenwayhealth.org,https://fenwayhealth.org/care/behavioral-health/violence-recovery/,False,VOCA/Funding
2015-01-26,2015,VOCA funding cut victims of crime act,H. Rept. 106-939 - VICTIMS OF TRAFFICKING AND ...,"The purposes of this division are to combat trafficking in persons, a contemporary manifestation of slavery whose victims are predominantly women and children.",congress.gov,https://www.congress.gov/committee-report/106th-congress/house-report/939/1,False,VOCA/Funding
2015-01-26,2015,Victims of Crime Act cap decrease,Forfeiture and Compensation for Victims of Crime,Remission is discretionary relief intended to reduce the hardship that may arise from forfeiture for persons who have incurred a monetary loss from the offense ...,justice.gov,https://www.justice.gov/sites/default/files/criminal-afmls/legacy/2015/01/26/victims.pdf,False,VOCA/Funding
2015-01-27,2015,Department of Justice victim grant award,Coordinated Tribal Assistance Solicitation,"▫ DOJ expects to award grants no later than. September 30, 2016. Page 31. ▫**Please don't wait until the last day to submit the application in GMS.**. Page 32 ...",files.hudexchange.info,https://files.hudexchange.info/course-content/2015-01-27-rural-gateway-conference-call-department-of-justice-tribal-assistance-solicitation/Coordinated-Tribal-Assistance-Solicitation-Slides-2016-02-08.pdf,False,VOCA/Funding
2015-01-28,2015,federal victim services funding slash,why 'red' states shoulder the deepest cuts under Obama,"Red, purple and blue states have all shouldered steep spending cuts after a 2011 budget deal, the analysis found. But those cuts have not been doled out evenly.",reuters.com,https://www.reuters.com/article/world/exclusive-spending-why-red-states-shoulder-the-deepest-cuts-under-obama-idUSKBN0L10EY/,False,VOCA/Funding
2015-02-01,2015,DOJ crime victim fund balance freeze,Civil Asset Forfeiture: When Good Intentions Go Awry,"by JG Malcolm · 2015 · Cited by 2 — The goal behind this fiction is the development of a means to deprive criminals of the fruits of their nefarious labor, sometimes in cases where it may be clear.",senatorward.com,https://www.senatorward.com/wp-content/blogs.dir/39/files/2015/10/Testimony-of-Heritage-Foundation.pdf,False,VOCA/Funding
2015-02-02,2015,DOJ crime victim fund balance freeze,Asset Forfeiture: Selected Legal Issues and Reforms,"The Department of Justice (DOJ) is permitted by law to keep most of the forfeited assets, creating what some view as a profit motive. Recently, DOJ stopped its ...",everycrsreport.com,https://www.everycrsreport.com/reports/R43890.html,False,VOCA/Funding
2015-02-02,2015,DOJ crime victim fund balance freeze,Asset Forfeiture: Selected Legal Issues and Reforms,"With these proposals in mind, this report will provide an overview of selected legal issues and reforms surrounding asset forfeiture, including the burden-of- ...",congress.gov,https://www.congress.gov/crs_external_products/R/PDF/R43890/R43890.3.pdf,False,VOCA/Funding
2015-02-17,2015,Victims of Crime Act cap decrease,The_2015-16_Budget: Implementation of Proposition 47,Proposition 47 reduced certain nonserious and non–violent property and drug offenses from wobblers or felonies to misdemeanors. The measure limits these reduced ...,lao.ca.gov,https://lao.ca.gov/reports/2015/budget/prop47/implementation-prop47-021715.aspx,False,VOCA/Funding
2015-02-18,2015,VOCA funding release 2025,Kansas Governor's Grants Program,Grant funds are available from the Federal Sexual Assault Services Grant Program (SASP) for calendar year 2026. All grant applications must be submitted via the ...,grants.ks.gov,https://www.grants.ks.gov/,False,VOCA/Funding
2015-02-19,2015,VOCA funding cut victims of crime act,DEPARTMENT OF JUSTICE Alternative Sources of ...,"The Victims of Crime Act of 1984 (VOCA), as amended, establishes the CVF and authorizes the fund to be used for specific crime victims assistance purposes ...",gao.gov,https://www.gao.gov/assets/670/668928.pdf,False,VOCA/Funding
2015-02-24,2015,federal victim services funding slash,28 CFR § 90.18 - Matching funds.,Funds awarded to victim service providers for victim services or to tribes are excluded from the total award amount for purposes of calculating match. This ...,law.cornell.edu,https://www.law.cornell.edu/cfr/text/28/90.18,False,VOCA/Funding
2015-03-25,2015,crime victims fund deposits decline,Enforcement Slush Funds,Arkansas also has a law permitting certain moneys received from civil penalties to be deposited into a special fund called the Elder and Disabled Victims Fund ...,instituteforlegalreform.com,https://instituteforlegalreform.com/wp-content/uploads/2020/10/Enforcement_Slush_Funds_web.pdf,False,VOCA/Funding
2015-04-24,2015,Victims of Crime Act cap decrease,28 CFR § 90.12 - Implementation plans. - Law.Cornell.Edu,Each State must submit a plan describing its identified goals under this program and how the funds will be used to accomplish those goals.,law.cornell.edu,https://www.law.cornell.edu/cfr/text/28/90.12,False,VOCA/Funding
2015-05-09,2015,Victims of Crime Act cap decrease,Victims of Trafficking and Violence Protection Act of 2000,"... law enforcement assistance funds to be so reduced (other than Federal crime victim assistance funds). (2) Payment schedule.--The Attorney General, in ...",congress.gov,https://www.congress.gov/106/plaws/publ386/PLAW-106publ386.htm,False,VOCA/Funding
2015-06-09,2015,Victims of Crime Act cap decrease,Justice for Victims of Trafficking Act: A Legal Analysis of the ...,"It expands the rights of those victimized by federal crimes, trafficking and otherwise; creates a Domestic Trafficking Victims Fund fed by special assessments ...",everycrsreport.com,https://www.everycrsreport.com/reports/R44064.html,False,VOCA/Funding
2015-07-06,2015,DOJ crime victim fund balance freeze,Former Harrison County Prosecutor Sentenced for Stealing ...,"On March 11, 2014, the bank froze the trust account and contacted law enforcement. On March 21, 2014, Turner opened another account in Bush's name at Farmers ...",justice.gov,https://www.justice.gov/usao-wdmo/pr/former-harrison-county-prosecutor-sentenced-stealing-540000-elderly-client,False,VOCA/Funding
2015-07-08,2015,VOCA funding release 2025,Assistance Listings Adoption and Legal Guardianship ...,Adoption and Legal Guardianship Incentive Payments Program. warning alert. Note: This Assistance Listing was not updated by the issuing agency in 2025. Please ...,sam.gov,https://sam.gov/fal/d448c7fffd8f4875a62e01404efa5f18/view,False,VOCA/Funding
