Event_Date,Year_Bin,Topic,Title,Source,Snippet,Link,Hardware_Tag,Date_Is_Imputed
2015-01-19,2015,Sunway TaihuLight processor,CompuLab aims to put a Mint in your pocket,newatlas.com,"The MintBox Mini features an AMD A4 6400T processor, a Radeon R3 GPU, 4 GB of DDR3 RAM (supports up 8 GB) and 64 GB of solid state storage.",https://newatlas.com/compulab-linux-mint-mintbox-mini/35664/,Supercomputer/Chip,False
2015-01-22,2015,Huawei supercomputing center,“Introduction of the Huawei Software Lab.” Ziang Hu and ...,mailman.cs.uchicago.edu,"His lab covers research and development on Operating Systems, virtualization, compilers, programming languages, databases, big data, and could infrastructure.",https://mailman.cs.uchicago.edu/pipermail/colloquium/attachments/20150122/748302cf/attachment.pdf,Supercomputer/Chip,False
2015-01-29,2015,Sunway TaihuLight processor,Introduction to Computers: Types of Computers,cs.sru.edu,"As of May 2011, Sunway TaihuLight is ranked on the TOP500 list as the fastest supercomputer. It consists of 40,960 CPUs each with 256 processing cores (a quad- ...",https://cs.sru.edu/~mullins/cpsc100book/module02_introduction/module02-02_introduction.html,Supercomputer/Chip,False
2015-02-09,2015,semiconductor entity list China,Qualcomm and China's National Development and Reform ...,s204.q4cdn.com,"− Expanding Qualcomm's longstanding relationship with Semiconductor Manufacturing International Corporation (SMIC), one of China's largest and most advanced ...",https://s204.q4cdn.com/645488518/files/doc_financials/2015/q2/NDRC_Resolution_Executive_Presentation.pdf,Supercomputer/Chip,False
2015-02-13,2015,semiconductor entity list China,Qualcomm's $975 Million China Settlement: Is NDRC ...,crowell.com,"The center piece of the settlement is an eye-popping $975 million fine, which is the largest corporate penalty to date in China.",https://www.crowell.com/en/insights/client-alerts/qualcomm-s-975-million-china-settlement-is-ndrc-righting-antitrust-wrongs-or-building-industrial-policy,Supercomputer/Chip,False
2015-02-18,2015,China supercomputer sanctions,Federal Register: Addition/Removal From Entity List,federalregister.gov,The ERC determined the following four persons being added to the Entity List under the destination of China have been involved in activities contrary to the ...,https://www.federalregister.gov/documents/2015/02/18/2015-03321/addition-of-certain-persons-to-the-entity-list-and-removal-of-person-from-the-entity-list-based-on-a,Supercomputer/Chip,False
2015-04-10,2015,US blacklist Chinese supercomputing,U.S. Blacklisting of China's Supercomputers May Backfire,spectrum.ieee.org,A U.S. decision to block Intel from upgrading a Chinese supercomputer won't stop China in the long run.,https://spectrum.ieee.org/us-blacklisting-of-chinas-supercomputers-may-backfire,Supercomputer/Chip,False
2015-04-10,2015,China supercomputer sanctions,US govt bans Intel from selling chips to China's boffins,theregister.com,"The US government has blocked Intel from shipping high-end Xeon processors to China's supercomputer builders – and other American chip giants are banned, too.",https://www.theregister.com/2015/04/10/us_intel_china_ban/,Supercomputer/Chip,False
2015-04-10,2015,China supercomputer sanctions,U.S. Blocked Supercomputer Exports in China Tech Feud,chinadigitaltimes.net,"The US last fall blocked the export of Intel chips and other components for the Chinese supercomputer Tianhe-2, the world's fastest since June 2013.",http://chinadigitaltimes.net/2015/04/supercomputer-exports-blocked-in-u-s-china-tech-feud/,Supercomputer/Chip,False
2015-04-10,2015,China supercomputer sanctions,US nuclear fears block Intel China supercomputer update,bbc.com,The US government has refused to let Intel help China update the world's biggest supercomputer over concerns about nuclear research it is being used for.,https://www.bbc.com/news/technology-32247532,Supercomputer/Chip,False
2015-04-15,2015,US blacklist Chinese supercomputing,Fast reactors and related fuel cycles : safe technologies and ...,www-pub.iaea.org,PROCEEDINGS OF AN INTERNATIONAL CONFERENCE ON. FAST REACTORS AND RELATED FUEL CYCLES: SAFE TECHNOLOGIES AND SUSTAINABLE SCENARIOS (FR13).,https://www-pub.iaea.org/MTCD/Publications/PDF/SupplementaryMaterials/Pub1665Vol2Web.pdf,Supercomputer/Chip,False
